1	2
1	7
1	26
3	2
3	16
3	32
3	47
4	12
4	10
4	37
4	36
4	32
4	47
6	7
6	9
6	8
6	35
6	36
6	22
6	46
7	6
7	36
7	29
7	22
7	19
10	9
10	11
12	10
12	4
12	34
12	36
12	35
12	43
13	18
13	16
13	36
13	21
13	9
13	11
13	40
13	38
13	41
13	21
14	16
14	31
14	32
14	17
14	18
15	18
15	17
16	32
16	17
19	29
20	33
21	4
21	36
21	35
21	19
22	29
22	6
22	35
22	4
22	9
22	34
23	24
24	23
27	46
27	28
29	22
29	35
29	36
29	19
32	34
32	14
32	16
32	3
34	4
34	32
34	22
34	9
35	36
35	21
35	36
35	8
36	22
36	35
38	39
38	41
39	40
39	38
40	39
40	38
41	40
41	42
43	41
43	42
43	29
43	12
45	43
46	6
