1	5	236
1	17	251
1	16	269
1	14	327
1	13	341
3	47	316
3	14	416
4	14	52
4	15	84
5	15	51
5	16	217
5	13	267
5	70	289
6	9	6
7	9	101
7	30	323
8	30	6
8	3	30
8	6	132
8	7	164
8	9	189
8	9	321
8	30	411
9	7	7
9	7	101
9	8	326
10	11	122
11	10	18
11	10	123
11	22	235
12	24	12
12	21	76
12	68	87
13	15	79
13	17	139
13	70	201
13	14	261
14	47	156
15	16	396
16	17	21
16	15	400
17	16	5
17	1	249
17	21	448
18	68	179
19	20	56
20	68	3
20	21	158
21	19	87
21	20	161
21	71	345
21	17	451
22	24	1
24	55	382
24	41	427
24	62	441
25	29	16
25	62	50
25	31	56
25	32	73
25	23	141
25	32	244
25	62	323
29	58	36
29	22	301
29	22	397
30	8	3
30	7	324
30	45	375
30	8	411
36	55	330
37	34	366
37	38	383
37	34	441
39	45	251
39	47	436
41	57	61
41	25	104
41	55	254
41	57	409
42	63	307
44	57	6
44	63	161
44	60	320
44	25	343
44	62	391
45	59	42
45	35	139
45	6	298
45	30	375
46	69	22
46	69	149
46	1	166
46	71	287
46	69	361
46	68	378
47	14	150
50	65	324
55	56	28
55	41	254
60	59	101
60	44	121
61	60	416
66	50	211
66	48	293
66	50	382
68	20	446
70	13	291
71	21	351
