3	75	182
3	37	221
3	47	241
3	33	418
4	6	423
6	4	326
7	18	243
7	18	380
9	10	2
9	55	311
11	111	7
12	17	90
13	14	40
13	17	105
13	12	188
13	44	277
14	113	394
15	16	70
15	64	131
15	63	198
16	18	95
16	41	283
16	40	443
17	13	101
17	68	158
18	37	54
19	20	94
20	19	101
20	78	249
20	19	271
20	85	371
20	22	400
20	81	432
21	24	8
21	22	112
22	23	69
22	79	133
22	24	267
22	49	337
22	81	399
22	87	436
23	82	156
23	87	236
23	78	447
24	22	153
25	31	94
25	35	269
26	27	71
26	27	232
26	57	354
26	31	449
27	26	230
27	29	311
28	29	20
28	27	300
28	30	420
29	28	157
29	27	312
29	28	375
29	57	450
30	33	166
30	33	216
30	27	378
30	28	419
31	61	6
31	33	19
31	86	88
31	25	94
31	24	114
31	20	143
31	21	217
31	26	447
33	32	6
33	32	46
33	30	158
33	61	355
33	32	397
34	99	112
34	52	159
35	60	1
35	61	48
37	64	2
37	42	153
37	45	189
37	103	317
37	3	325
37	46	350
38	64	4
38	63	47
38	64	63
38	37	77
38	104	106
38	36	183
38	108	435
41	39	305
41	53	386
41	51	389
41	103	402
41	52	426
42	65	14
42	43	220
45	47	148
45	75	208
45	37	280
45	53	327
45	46	390
47	3	247
47	37	271
48	49	4
48	50	33
48	53	165
48	34	186
48	51	337
48	50	353
49	85	175
49	82	229
50	51	330
51	53	305
51	48	338
52	93	81
52	51	157
52	47	201
53	86	9
53	97	21
53	99	50
53	52	65
53	92	93
53	48	122
53	50	135
53	48	279
53	52	306
57	31	416
59	25	370
64	37	6
