3	17
3	115
3	1
2	32
2	35
2	110
1	17
1	5
1	25
1	26
1	3
5	6
5	1
5	25
5	26
5	30	
5	85	
5	82
6	1
6	20
6	18	
6	22
6	17
6	5	
6	29	
6	19
7	8
7	4
7	13
8	40
8	19
8	94
8	82
8	12
10	13
11	14
11	15
11	32
12	8
12	36
13	10
13	7
13	20
14	11
14	16
14	32
14	110
15	16
16	15
16	32
16	14
17	40
17	1
17	20
17	30
17	3
17	21
17	63
18	20
18	19
18	26
18	45
19	20
19	97
19	83
19	6
20	18
20	19
20	1
20	27
20	94
20	45
23	64
23	31
23	110
24	85
24	86
24	87
24	63
24	93
24	62
25	26
25	115
25	6
25	44
27	26
27	39
27	17
27	20
28	30
28	78
29	53
29	54
30	29
30	93
31	33
32	34
32	35
32	16
32	14
32	11
34	33
36	73
36	70
36	20
36	94
39	27
40	41
40	4
42	43
42	34
42	73
42	68
43	45
43	46
43	67
43	49
43	92
43	97
43	82
44	115
45	92
45	20
46	47
48	45
49	115
49	59
49	68
49	42
50	49
51	25
51	1
52	26
52	92
53	31
54	58
54	57
55	57
59	60
59	71
60	59
60	67
60	77
60	72	
62	65
62	77
62	93
62	98
63	64
63	37
63	97
63	24
63	86
63	87
64	44
65	61
65	70
65	59
65	73
67	77
67	43
67	45
67	49
67	92
67	97
69	59
69	66
69	73
69	42
69	68
70	73
70	42
70	36
70	61
73	43
73	74
73	68
74	75
77	60
78	109
78	106
79	66
79	77
81	106
83	24
83	37
83	38
84	24
84	37
84	43
84	17
86	85
86	63
92	94
92	86
92	37
92	49
92	45
92	67
92	97
93	94
94	86
94	87
94	82
94	9
94	36
94	20
97	99
98	95
97	19
97	38
97	43
97	18
102	101
103	104
103	112
104	112
104	113
106	105
106	109
109	78
110	14
